hash,isBugfix_mistral-small3.2:24b
02b159ca109ec78d3fa42d113c10e1ea6f51c057,false
109b51dc62e42fe45f1a1884ea50fda6f583c622,false
effb7d7ff2f6dac69646ba1dce6eb4f8c96254cc,false
2b8e219057e5ce742d358454f4c85d63ecdd01b0,false
30fe6f8cc5d35f845b8efcb0e07122470e22f0f5,false
1b296b3bbbbeba63f31a3b914788a79a940339e4,false
b7af0dd74ebe9c77ff38ff2e0bd725d7db153cf7,false
686b8468bed9974eea73f6f111ba441dc335f279,true
770137fe709164012c94e729184ae88f45105d68,false
870e06cebb40b76c0d69e1fa207333926c0c8b6a,false
a8eab37f165fa0132f3c0823470ed53510b83a5b,false
e692cbe2f12bd15ec73cbb76a7f9194504fd222a,false
8675218c4b4441fddf6ec53b6b75d0305e00416f,false
230c33b40af36a09f6cdea392fa36bc72f5991f8,false
88a1461b3b4d800dad524df8a5579e685c729542,true
c3c99d7a3467a3c711d3aa1980acae8e620d0467,false
84ac9ff8668fe528d1c86264f773e677f4d9a2cf,false
cc549a06ee00e4820286695e4d60771b180bca16,false
aee2e6fe07df504fcab80e82a7efa8ac58dde704,false
2472d6951e6cf0c5f92234ad667465da00757cf5,false
80f5de73547c41c241c065f5c50b8d09ef887160,false
9bdbdd3d3bf9ec2c9f91c02c7b4fceb5f4c571c0,false
d3a3e906f99ad4dd7d564cbf979a4c44c4f0b8fb,false
85fe8e13933d295cffb3fa17582b8b39adcc692e,false
bbb4854461500cf0f9ca7b4939952b787bef433b,true
f1e8ad594471e686fccaef642a5f673e7e5644bc,false
77080af1fce72485d0894746f18d02f70069b966,false
1cf79322634f2bfcee701209ffe6d33a982290dd,false
2d7009df2f2f9fb61a55b61768a8b1bbeef42d74,false
af660ef6df4f1727a27cea78c46aefff3bbfaae7,false
9d75ba8b2aba7b568f10cad2e4259c66bae3b6d6,true
1d33a59b9dba0c76d23000385d753999985358e6,false
386e1dc05cb4ee95aced31cf4eff2119ff218e27,false
73876dc012e01f11967377b244e16ff79e9b5b38,false
b068eb3bf83bbe229fea9ac0e1d761b8821c5182,true
d5e45ae6d351cbadf17f9cdf7120f1f0a8ee7577,false
155fa30ad9fc0bfc1d47725a4c65281d97330a81,false
015d64b953c17058ac2fcf46551aa30f43535873,false
2c5609e43f6e62a4622d8c5c249428e863125a04,false
f7a65f5f6c4ab320467ab026184fce4860873a93,true
